,red,green,blue,power
91,0,231,149,1655.7325499718668
92,0,231,170,1799.9786910194925
93,0,231,188,1920.3042262881288
94,0,231,203,2058.7202436028933
95,0,231,218,2214.6889623982456
96,0,231,231,2382.0466349535595
97,0,231,243,2438.6956495895365
98,0,231,255,2517.3945354164116
99,0,243,0,1347.5999933728322
100,0,243,89,1416.8391243139756
101,0,243,124,1551.6339579705543
102,0,243,149,1747.5565492594721
103,0,243,170,1850.3715597362914
104,0,243,188,2048.846029150368
105,0,243,203,2137.3375699236462
106,0,243,218,2261.7066257391075
107,0,243,231,2452.337733045204
108,0,243,243,2541.9430630602014
109,0,243,255,2560.9616844430457
110,0,255,0,1414.355145922796
111,0,255,89,1473.4403374049866
112,0,255,124,1634.9400809757274
113,0,255,149,1800.9045370427777
114,0,255,170,1903.5617988265776
115,0,255,188,2088.5132515586365
116,0,255,203,2221.906537489092
117,0,255,218,2391.9616723452014
118,0,255,231,2509.360716436133
119,0,255,243,2560.399028688697
120,0,255,255,2631.608480648452
121,89,0,0,542.8142852630591
122,89,0,89,613.6451864989302
123,89,0,124,783.63719946722
124,89,0,149,955.4360227647629
125,89,0,170,1123.11002711278
126,89,0,188,1277.574937891105
127,89,0,203,1407.0835905519496
128,89,0,218,1584.2603900654924
129,89,0,231,1745.7098719714775
130,89,0,243,1788.292906503801
131,89,0,255,1857.342265888067
132,89,89,0,572.7191449516387
133,89,89,89,629.8213932065031
134,89,89,124,795.0510585008458
135,89,89,149,953.368371170223
136,89,89,170,1127.9084863191172
137,89,89,188,1290.4387737161185
138,89,89,203,1463.5505994988462
139,89,89,218,1638.8508074174993
140,89,89,231,1791.6615824362543
141,89,89,243,1836.3850120486077
142,89,89,255,1913.0944768004836
143,89,124,0,661.9525992021723
144,89,124,89,698.9911470860094
145,89,124,124,850.2219158623673
146,89,124,149,991.9877624573719
147,89,124,170,1232.5542626393687
148,89,124,188,1361.9065399711806
149,89,124,203,1513.0921491768052
150,89,124,218,1641.8371765705497
151,89,124,231,1837.305243466579
152,89,124,243,1852.692377479965
153,89,124,255,1961.1596481379067
154,89,149,0,757.8146560588723
155,89,149,89,785.1459943276417
156,89,149,124,926.2587369792363
157,89,149,149,1141.2077326007327
158,89,149,170,1314.0121066277788
159,89,149,188,1444.7451631555984
160,89,149,203,1559.7037460099973
161,89,149,218,1738.5242557048882
162,89,149,231,1847.6782080845774
163,89,149,243,1967.399906589558
164,89,149,255,2029.0365638915891
165,89,170,0,900.5492190972209
166,89,170,89,909.6324505425526
167,89,170,124,1043.742641830806
