,red,green,blue,power
83,0,170,149,693.8286017511275
84,0,170,170,780.4988501680524
85,0,170,188,863.6178681999115
86,0,170,203,939.1913651243033
87,0,170,218,1022.9013847719328
88,0,170,231,1179.2246415294742
89,0,170,243,1196.0822826808228
90,0,170,255,1346.5398398442683
91,0,188,0,557.6989114080892
92,0,188,33,527.7580260015918
93,0,188,66,562.5228891149543
94,0,188,89,598.673153471915
95,0,188,124,659.8726114649681
96,0,188,149,742.8642193719593
97,0,188,170,822.4567611801655
98,0,188,188,898.9330266300981
99,0,188,203,971.6767658896899
100,0,188,218,1044.353597026812
101,0,188,231,1224.6752787117325
102,0,188,243,1302.7084900234483
103,0,188,255,1733.963366073799
104,0,203,0,619.5082257208562
105,0,203,33,658.1692756699389
106,0,203,66,620.5820433436531
107,0,203,89,642.9720047764363
108,0,203,124,796.1700809698686
109,0,203,149,863.2228955633211
110,0,203,170,875.491462443599
111,0,203,188,951.3375796178343
112,0,203,203,1080.764331210191
113,0,203,218,1604.2893165228932
114,0,203,231,1211.3709356337092
115,0,203,243,1263.2964699637264
116,0,203,255,1351.605222394335
117,0,218,0,603.6614486601219
118,0,218,33,646.7672432862894
119,0,218,66,681.1232476893823
120,0,218,89,1231.9384370439166
121,0,218,124,784.6092609791694
122,0,218,149,934.9904905126277
123,0,218,170,997.1533460126499
124,0,218,188,1007.8535096642931
125,0,218,203,1072.244193762442
126,0,218,218,1172.639681486397
127,0,218,231,1383.3582584841379
128,0,218,243,1453.5055742346487
129,0,218,255,2091.2556410937086
130,0,231,0,863.465110108782
131,0,231,33,740.5131835073438
132,0,231,66,1246.6584114629402
133,0,231,89,1003.1789836805094
134,0,231,124,1512.598620201663
135,0,231,149,998.7261146496814
136,0,231,170,1033.3757961783438
137,0,231,188,1199.8407854584052
138,0,231,203,1130.8006723878616
139,0,231,218,1874.3059364770413
140,0,231,231,1419.2338317260903
141,0,231,243,2033.3908427339084
142,0,231,255,1537.66491173738
143,0,243,0,1341.9281797275785
144,0,243,33,877.2530973451328
145,0,243,66,815.6879394984742
146,0,243,89,933.9301194161875
147,0,243,124,1537.1208703728273
148,0,243,149,1059.919493962047
149,0,243,170,1710.724586392993
150,0,243,188,1338.5395196603122
151,0,243,203,1754.4725085150617
152,0,243,218,1258.2561380225613
153,0,243,231,1428.2129109331445
154,0,243,243,1503.0075653674292
155,0,243,255,2194.407079646018
156,0,255,0,882.9401618681173
157,0,255,33,1113.1124187054816
158,0,255,66,1526.18215596939
159,0,255,89,1550.7790311877902
160,0,255,124,1516.4872521246457
161,0,255,149,1632.1741053655946
162,0,255,170,1189.5624474627261
163,0,255,188,1262.7868707422806
164,0,255,203,1852.5570695452134
165,0,255,218,1996.6504381694251
166,0,255,231,2084.814159292035
167,0,255,243,2165.448028673835
168,0,255,255,2115.8143444980315
169,33,0,0,265.8814166335058
170,33,0,33,260.78790290489457
171,33,0,66,863.4269290294052
172,33,0,89,914.3261407852847
173,33,0,124,1003.5109440636745
174,33,0,149,1100.3935789147836
175,33,0,170,1184.9608632202714
176,33,0,188,1291.0388748839061
177,33,0,203,1386.8836797877045
178,33,0,218,1481.2738853503183
179,33,0,231,958.7681960975178
180,33,0,243,1688.302220649385
181,33,0,255,1183.7466271508824
182,33,33,0,882.6278792165878
183,33,33,33,819.4738936292497
184,33,33,66,872.048107534489
185,33,33,89,924.982093115798
186,33,33,124,413.61160240537674
187,33,33,149,1108.4466062347997
188,33,33,170,655.1417326316721
189,33,33,188,1265.6205218929676
190,33,33,203,1364.8540597912613
191,33,33,218,1477.576293675365
192,33,33,231,1580.7068607068607
193,33,33,243,1679.6390338848094
194,33,33,255,1206.7843397478432
195,33,66,0,893.4813177094848
196,33,66,33,851.6731517509728
197,33,66,66,889.6815286624203
198,33,66,89,926.6740370583293
199,33,66,124,1023.8868007959319
200,33,66,149,1115.2166990978242
201,33,66,170,1215.0179100517403
202,33,66,188,783.5556341765435
203,33,66,203,1386.7421695275173
204,33,66,218,1490.0022117043395
205,33,66,231,1562.2929936305732
206,33,66,243,1678.9808917197452
207,33,66,255,1778.932189144955
208,33,89,0,925.0638956444836
209,33,89,33,864.8021574782261
210,33,89,66,893.8721372358298
211,33,89,89,948.4541917226742
212,33,89,124,513.9582596391936
213,33,89,149,1129.9911551388643
214,33,89,170,1212.417086760414
215,33,89,188,1323.646013002521
216,33,89,203,1408.9061946902655
217,33,89,218,1497.5133796275818
218,33,89,231,1585.1528152505641
219,33,89,243,1697.1155547690676
220,33,89,255,1734.012738853503
221,33,124,0,965.3488989121781
222,33,124,33,901.0824195259993
223,33,124,66,947.3935535216873
224,33,124,89,483.0573248407643
225,33,124,124,1074.3645529318119
226,33,124,149,1145.1737861501722
227,33,124,170,1259.3393180913636
228,33,124,188,1350.768278119333
229,33,124,203,1434.2680229986731
230,33,124,218,1503.051747014595
231,33,124,231,1632.6114649681526
232,33,124,243,1745.5780628040688
233,33,124,255,1819.00101756404
234,33,149,0,538.4558238259485
235,33,149,33,962.7166607711355
236,33,149,66,1002.9571984435796
237,33,149,89,1055.376044568245
238,33,149,124,1089.6471212523213
239,33,149,149,686.6731569165413
240,33,149,170,1318.5511476714873
241,33,149,188,1390.8367238634353
242,33,149,203,1485.153243996285
243,33,149,218,1562.6643078283944
244,33,149,231,1674.4689697881188
245,33,149,243,1782.420382165605
246,33,149,255,1745.4545454545453
247,33,170,0,1075.845235463188
248,33,170,33,1006.433813776638
